t_sec,x_m,y_m
9.620000,1.783711,-0.048341
9.640000,1.783872,-0.048613
9.660000,1.784027,-0.048888
9.680000,1.784177,-0.049166
9.700000,1.784321,-0.049447
9.720000,1.784460,-0.049731
9.740000,1.784593,-0.050017
9.760000,1.784720,-0.050306
9.780000,1.784842,-0.050598
9.800000,1.784957,-0.050892
9.820000,1.785067,-0.051188
9.840000,1.785098,-0.051277
9.860000,1.785098,-0.051277
9.880000,1.785098,-0.051277
9.900000,1.785098,-0.051277
9.920000,1.785098,-0.051277
9.940000,1.785098,-0.051277
9.960000,1.785098,-0.051277
9.980000,1.785098,-0.051277
10.000000,1.785098,-0.051277
10.020000,1.785098,-0.051277
10.040000,1.785098,-0.051277
10.060000,1.785098,-0.051277
10.080000,1.785098,-0.051277
10.100000,1.785098,-0.051277
10.120000,1.785098,-0.051277
10.140000,1.785098,-0.051277
10.160000,1.785098,-0.051277
10.180000,1.785098,-0.051277
10.200000,1.785098,-0.051277
10.220000,1.785098,-0.051277
10.240000,1.785098,-0.051277
10.260000,1.785098,-0.051277
10.280000,1.785098,-0.051277
10.300000,1.785098,-0.051277
10.320000,1.785088,-0.051342
10.340000,1.785017,-0.051766
10.360000,1.784865,-0.052573
10.380000,1.784672,-0.053501
10.400000,1.784460,-0.054424
10.420000,1.784230,-0.055343
10.440000,1.783981,-0.056257
10.460000,1.783714,-0.057166
10.480000,1.783429,-0.058070
10.500000,1.783126,-0.058967
10.520000,1.782902,-0.059592
10.540000,1.782676,-0.060181
10.560000,1.782439,-0.060767
10.580000,1.782190,-0.061347
10.600000,1.781929,-0.061922
10.620000,1.781628,-0.062552
10.640000,1.781151,-0.063500
10.660000,1.780468,-0.064792
10.680000,1.779566,-0.066421
10.700000,1.778431,-0.068377
10.720000,1.777050,-0.070652
10.740000,1.775409,-0.073236
10.760000,1.773496,-0.076121
10.780000,1.771297,-0.079296
10.800000,1.768802,-0.082750
10.820000,1.766132,-0.086294
10.840000,1.763403,-0.089772
10.860000,1.760604,-0.093194
10.880000,1.757737,-0.096560
10.900000,1.754774,-0.099901
10.920000,1.751510,-0.103436
10.940000,1.747899,-0.107192
10.960000,1.743945,-0.111145
10.980000,1.739846,-0.115083
11.000000,1.735628,-0.118975
11.020000,1.731149,-0.122946
11.040000,1.726580,-0.126835
11.060000,1.721935,-0.130633
11.080000,1.717215,-0.134336
11.100000,1.712569,-0.137837
11.120000,1.707968,-0.141175
11.140000,1.703307,-0.144429
11.160000,1.698589,-0.147599
11.180000,1.693815,-0.150684
11.200000,1.688860,-0.153766
11.220000,1.683715,-0.156853
11.240000,1.678522,-0.159858
11.260000,1.673282,-0.162780
11.280000,1.667996,-0.165619
11.300000,1.662792,-0.168309
11.320000,1.657701,-0.170837
11.340000,1.652571,-0.173285
11.360000,1.647403,-0.175650
11.380000,1.642197,-0.177933
11.400000,1.636873,-0.180170
11.420000,1.631312,-0.182416
11.440000,1.625718,-0.184586
11.460000,1.620095,-0.186678
11.480000,1.614443,-0.188691
11.500000,1.608763,-0.190624
